Standard_Work,Book,Chapter,Verse,Citations,Text,Chapter_Verse_Count
Doctrine and Covenants,Doctrine and Covenants,110,6,16,"Let the hearts of your brethren rejoice, and let the hearts of all my people rejoice, who have, with their might, built this house to my name.",16
Doctrine and Covenants,Doctrine and Covenants,110,1,16,"The veil was taken from our minds, and the eyes of our understanding were opened.",16
Doctrine and Covenants,Doctrine and Covenants,110,5,16,"Behold, your sins are forgiven you; you are clean before me; therefore, lift up your heads and rejoice.",16
New Testament,Luke,15,17,16,"And when he came to himself, he said, How many hired servants of my father’s have bread enough and to spare, and I perish with hunger!",32
New Testament,Philippians,4,7,16,"And the peace of God, which passeth all understanding, shall keep your hearts and minds through Christ Jesus.",23
Book of Mormon,Alma,41,10,16,"Do not suppose, because it has been spoken concerning restoration, that ye shall be restored from sin to happiness. Behold, I say unto you, wickedness never was happiness.",15
Book of Mormon,Alma,36,17,16,"And it came to pass that as I was thus racked with torment, while I was harrowed up by the memory of my many sins, behold, I remembered also to have heard my father prophesy unto the people concerning the coming of one Jesus Christ, a Son of God, to atone for the sins of the world.",30
New Testament,Romans,8,28,16,"And we know that all things work together for good to them that love God, to them who are the called according to his purpose.",39
Book of Mormon,3 Nephi,11,16,16,"And when they had all gone forth and had witnessed for themselves, they did cry out with one accord, saying:",41
Doctrine and Covenants,Doctrine and Covenants,20,53,16,"The teacher’s duty is to watch over the church always, and be with and strengthen them;",84
New Testament,1 Corinthians,15,22,16,"For as in Adam all die, even so in Christ shall all be made alive.",58
Book of Mormon,3 Nephi,11,3,16,"And it came to pass that while they were thus conversing one with another, they heard a voice as if it came out of heaven; and they cast their eyes round about, for they understood not the voice which they heard; and it was not a harsh voice, neither was it a loud voice; nevertheless, and notwithstanding it being a small voice it did pierce them that did hear to the center, insomuch that there was no part of their frame that it did not cause to quake; yea, it did pierce them to the very soul, and did cause their hearts to burn.",41
Book of Mormon,2 Nephi,32,5,16,"For behold, again I say unto you that if ye will enter in by the way, and receive the Holy Ghost, it will show unto you all things what ye should do.",9
Book of Mormon,2 Nephi,26,24,16,"He doeth not anything save it be for the benefit of the world; for he loveth the world, even that he layeth down his own life that he may draw all men unto him. Wherefore, he commandeth none that they shall not partake of his salvation.",33
New Testament,Luke,4,18,16,"The Spirit of the Lord is upon me, because he hath anointed me to preach the gospel to the poor; he hath sent me to heal the brokenhearted, to preach deliverance to the captives, and recovering of sight to the blind, to set at liberty them that are bruised,",44
Doctrine and Covenants,Doctrine and Covenants,110,10,16,And the fame of this house shall spread to foreign lands; and this is the beginning of the blessing which shall be poured out upon the heads of my people. Even so. Amen.,16
Book of Mormon,1 Nephi,11,22,16,"And I answered him, saying: Yea, it is the love of God, which sheddeth itself abroad in the hearts of the children of men; wherefore, it is the most desirable above all things.",36
Pearl of Great Price,Moses,6,57,16,"Wherefore teach it unto your children, that all men, everywhere, must repent, or they can in nowise inherit the kingdom of God, for no unclean thing can dwell there, or dwell in his presence; for, in the language of Adam, Man of Holiness is his name, and the name of his Only Begotten is the Son of Man, even Jesus Christ, a righteous Judge, who shall come in the meridian of time.",68
Book of Mormon,Alma,36,20,16,"And oh, what joy, and what marvelous light I did behold; yea, my soul was filled with joy as exceeding as was my pain!",30
Book of Mormon,2 Nephi,31,4,16,"Wherefore, I would that ye should remember that I have spoken unto you concerning that prophet which the Lord showed unto me, that should baptize the Lamb of God, which should take away the sins of the world.",21
Doctrine and Covenants,Doctrine and Covenants,88,6,16,"He that ascended up on high, as also he descended below all things, in that he comprehended all things, that he might be in all and through all things, the light of truth;",141
Old Testament,Isaiah,53,5,15,"But he was wounded for our transgressions, he was bruised for our iniquities: the chastisement of our peace was upon him; and with his stripes we are healed.",12
Doctrine and Covenants,Doctrine and Covenants,11,12,15,"And now, verily, verily, I say unto thee, put your trust in that Spirit which leadeth to do good—yea, to do justly, to walk humbly, to judge righteously; and this is my Spirit.",30
Doctrine and Covenants,Doctrine and Covenants,59,9,15,"And that thou mayest more fully keep thyself unspotted from the world, thou shalt go to the house of prayer and offer up thy sacraments upon my holy day;",24
Book of Mormon,3 Nephi,11,22,15,"And again the Lord called others, and said unto them likewise; and he gave unto them power to baptize. And he said unto them: On this wise shall ye baptize; and there shall be no disputations among you.",41
New Testament,Matthew,25,36,15,"Naked, and ye clothed me: I was sick, and ye visited me: I was in prison, and ye came unto me.",46
Book of Mormon,Alma,34,31,15,"Yea, I would that ye would come forth and harden not your hearts any longer; for behold, now is the time and the day of your salvation; and therefore, if ye will repent and harden not your hearts, immediately shall the great plan of redemption be brought about unto you.",41
Book of Mormon,1 Nephi,4,6,15,"And I was led by the Spirit, not knowing beforehand the things which I should do.",38
New Testament,John,15,12,15,"This is my commandment, That ye love one another, as I have loved you.",27
Book of Mormon,Alma,32,43,15,"Then, my brethren, ye shall reap the rewards of your faith, and your diligence, and patience, and long-suffering, waiting for the tree to bring forth fruit unto you.",43
Doctrine and Covenants,Doctrine and Covenants,81,5,15,"Wherefore, be faithful; stand in the office which I have appointed unto you; succor the weak, lift up the hands which hang down, and strengthen the feeble knees.",7
Doctrine and Covenants,Doctrine and Covenants,19,23,15,"Learn of me, and listen to my words; walk in the meekness of my Spirit, and you shall have peace in me.",41
Book of Mormon,Jacob,4,13,15,"Behold, my brethren, he that prophesieth, let him prophesy to the understanding of men; for the Spirit speaketh the truth and lieth not. Wherefore, it speaketh of things as they really are, and of things as they really will be; wherefore, these things are manifested unto us plainly, for the salvation of our souls. But behold, we are not witnesses alone in these things; for God also spake them unto prophets of old.",18
Book of Mormon,1 Nephi,11,21,15,"And the angel said unto me: Behold the Lamb of God, yea, even the Son of the Eternal Father! Knowest thou the meaning of the tree which thy father saw?",36
Doctrine and Covenants,Doctrine and Covenants,121,46,15,"The Holy Ghost shall be thy constant companion, and thy scepter an unchanging scepter of righteousness and truth; and thy dominion shall be an everlasting dominion, and without compulsory means it shall flow unto thee forever and ever.",46
Book of Mormon,Alma,42,15,15,"And now, the plan of mercy could not be brought about except an atonement should be made; therefore God himself atoneth for the sins of the world, to bring about the plan of mercy, to appease the demands of justice, that God might be a perfect, just God, and a merciful God also.",31
Doctrine and Covenants,Doctrine and Covenants,19,16,15,"For behold, I, God, have suffered these things for all, that they might not suffer if they would repent;",41
Doctrine and Covenants,Doctrine and Covenants,110,8,15,"Yea, I will appear unto my servants, and speak unto them with mine own voice, if my people will keep my commandments, and do not pollute this holy house.",16
New Testament,Hebrews,12,2,15,"Looking unto Jesus the author and finisher of our faith; who for the joy that was set before him endured the cross, despising the shame, and is set down at the right hand of the throne of God.",29
Doctrine and Covenants,Doctrine and Covenants,132,19,15,"And again, verily I say unto you, if a man marry a wife by my word, which is my law, and by the new and everlasting covenant, and it is sealed unto them by the Holy Spirit of promise, by him who is anointed, unto whom I have appointed this power and the keys of this priesthood; and it shall be said unto them—Ye shall come forth in the first resurrection; and if it be after the first resurrection, in the next resurrection; and shall inherit thrones, kingdoms, principalities, and powers, dominions, all heights and depths—then shall it be written in the Lamb’s Book of Life, that he shall commit no murder whereby to shed innocent blood, and if ye abide in my covenant, and commit no murder whereby to shed innocent blood, it shall be done unto them in all things whatsoever my servant hath put upon them, in time, and through all eternity; and shall be of full force when they are out of the world; and they shall pass by the angels, and the gods, which are set there, to their exaltation and glory in all things, as hath been sealed upon their heads, which glory shall be a fulness and a continuation of the seeds forever and ever.",66
Book of Mormon,Moroni,7,27,14,"Wherefore, my beloved brethren, have miracles ceased because Christ hath ascended into heaven, and hath sat down on the right hand of God, to claim of the Father his rights of mercy which he hath upon the children of men?",48
Book of Mormon,Alma,34,16,14,"And thus mercy can satisfy the demands of justice, and encircles them in the arms of safety, while he that exercises no faith unto repentance is exposed to the whole law of the demands of justice; therefore only unto him that has faith unto repentance is brought about the great and eternal plan of redemption.",41
Book of Mormon,3 Nephi,11,12,14,And it came to pass that when Jesus had spoken these words the whole multitude fell to the earth; for they remembered that it had been prophesied among them that Christ should show himself unto them after his ascension into heaven.,41
Doctrine and Covenants,Doctrine and Covenants,45,26,14,"And in that day shall be heard of wars and rumors of wars, and the whole earth shall be in commotion, and men’s hearts shall fail them, and they shall say that Christ delayeth his coming until the end of the earth.",75
Book of Mormon,Moroni,7,28,14,"For he hath answered the ends of the law, and he claimeth all those who have faith in him; and they who have faith in him will cleave unto every good thing; wherefore he advocateth the cause of the children of men; and he dwelleth eternally in the heavens.",48
Book of Mormon,3 Nephi,11,13,14,And it came to pass that the Lord spake unto them saying:,41
Book of Mormon,Enos,1,3,14,"Behold, I went to hunt beasts in the forests; and the words which I had often heard my father speak concerning eternal life, and the joy of the saints, sunk deep into my heart.",27
Book of Mormon,3 Nephi,11,25,14,"Having authority given me of Jesus Christ, I baptize you in the name of the Father, and of the Son, and of the Holy Ghost. Amen.",41
Book of Mormon,3 Nephi,11,21,14,And the Lord said unto him: I give unto you power that ye shall baptize this people when I am again ascended into heaven.,41
Book of Mormon,Alma,32,37,14,"And behold, as the tree beginneth to grow, ye will say: Let us nourish it with great care, that it may get root, that it may grow up, and bring forth fruit unto us. And now behold, if ye nourish it with much care it will get root, and grow up, and bring forth fruit.",43
Book of Mormon,3 Nephi,11,24,14,"And now behold, these are the words which ye shall say, calling them by name, saying:",41
Book of Mormon,3 Nephi,11,23,14,"Verily I say unto you, that whoso repenteth of his sins through your words, and desireth to be baptized in my name, on this wise shall ye baptize them—Behold, ye shall go down and stand in the water, and in my name shall ye baptize them.",41
Book of Mormon,3 Nephi,11,41,14,"Therefore, go forth unto this people, and declare the words which I have spoken, unto the ends of the earth.",41
Doctrine and Covenants,Doctrine and Covenants,8,2,14,"Yea, behold, I will tell you in your mind and in your heart, by the Holy Ghost, which shall come upon you and which shall dwell in your heart.",12
Pearl of Great Price,Moses,6,59,14,"That by reason of transgression cometh the fall, which fall bringeth death, and inasmuch as ye were born into the world by water, and blood, and the spirit, which I have made, and so became of dust a living soul, even so ye must be born again into the kingdom of heaven, of water, and of the Spirit, and be cleansed by blood, even the blood of mine Only Begotten; that ye might be sanctified from all sin, and enjoy the words of eternal life in this world, and eternal life in the world to come, even immortal glory;",68
Doctrine and Covenants,Doctrine and Covenants,122,8,14,The Son of Man hath descended below them all. Art thou greater than he?,9
Book of Mormon,Mosiah,15,7,14,"Yea, even so he shall be led, crucified, and slain, the flesh becoming subject even unto death, the will of the Son being swallowed up in the will of the Father.",31
Book of Mormon,Helaman,3,35,14,"Nevertheless they did fast and pray oft, and did wax stronger and stronger in their humility, and firmer and firmer in the faith of Christ, unto the filling their souls with joy and consolation, yea, even to the purifying and the sanctification of their hearts, which sanctification cometh because of their yielding their hearts unto God.",37
New Testament,Luke,15,13,14,"And not many days after the younger son gathered all together, and took his journey into a far country, and there wasted his substance with riotous living.",32
New Testament,Luke,18,22,14,"Now when Jesus heard these things, he said unto him, Yet lackest thou one thing: sell all that thou hast, and distribute unto the poor, and thou shalt have treasure in heaven: and come, follow me.",43
Book of Mormon,3 Nephi,27,17,14,"And he that endureth not unto the end, the same is he that is also hewn down and cast into the fire, from whence they can no more return, because of the justice of the Father.",33
New Testament,Luke,15,5,14,"And when he hath found it, he layeth it on his shoulders, rejoicing.",32
Book of Mormon,Mosiah,24,13,14,"And it came to pass that the voice of the Lord came to them in their afflictions, saying: Lift up your heads and be of good comfort, for I know of the covenant which ye have made unto me; and I will covenant with my people and deliver them out of bondage.",25
New Testament,Matthew,5,44,14,"But I say unto you, Love your enemies, bless them that curse you, do good to them that hate you, and pray for them which despitefully use you, and persecute you;",48
Book of Mormon,3 Nephi,27,18,14,"And this is the word which he hath given unto the children of men. And for this cause he fulfilleth the words which he hath given, and he lieth not, but fulfilleth all his words.",33
Book of Mormon,Alma,5,12,14,And according to his faith there was a mighty change wrought in his heart. Behold I say unto you that this is all true.,62
New Testament,Philippians,4,13,14,I can do all things through Christ which strengtheneth me.,23
Book of Mormon,Mosiah,27,25,14,"And the Lord said unto me: Marvel not that all mankind, yea, men and women, all nations, kindreds, tongues and people, must be born again; yea, born of God, changed from their carnal and fallen state, to a state of righteousness, being redeemed of God, becoming his sons and daughters;",37
Book of Mormon,Omni,1,26,14,"And now, my beloved brethren, I would that ye should come unto Christ, who is the Holy One of Israel, and partake of his salvation, and the power of his redemption. Yea, come unto him, and offer your whole souls as an offering unto him, and continue in fasting and praying, and endure to the end; and as the Lord liveth ye will be saved.",30
Doctrine and Covenants,Doctrine and Covenants,18,10,14,Remember the worth of souls is great in the sight of God;,47
Book of Mormon,3 Nephi,11,6,14,"And behold, the third time they did understand the voice which they heard; and it said unto them:",41
New Testament,Matthew,25,34,14,"Then shall the King say unto them on his right hand, Come, ye blessed of my Father, inherit the kingdom prepared for you from the foundation of the world:",46
Book of Mormon,1 Nephi,8,28,14,"And after they had tasted of the fruit they were ashamed, because of those that were scoffing at them; and they fell away into forbidden paths and were lost.",38
Book of Mormon,3 Nephi,17,21,14,"And when he had said these words, he wept, and the multitude bare record of it, and he took their little children, one by one, and blessed them, and prayed unto the Father for them.",25
Book of Mormon,3 Nephi,17,7,14,"Have ye any that are sick among you? Bring them hither. Have ye any that are lame, or blind, or halt, or maimed, or leprous, or that are withered, or that are deaf, or that are afflicted in any manner? Bring them hither and I will heal them, for I have compassion upon you; my bowels are filled with mercy.",25
Doctrine and Covenants,Doctrine and Covenants,11,13,14,"Verily, verily, I say unto you, I will impart unto you of my Spirit, which shall enlighten your mind, which shall fill your soul with joy;",30
Book of Mormon,1 Nephi,8,12,14,"And as I partook of the fruit thereof it filled my soul with exceedingly great joy; wherefore, I began to be desirous that my family should partake of it also; for I knew that it was desirable above all other fruit.",38
Doctrine and Covenants,Doctrine and Covenants,76,69,14,"These are they who are just men made perfect through Jesus the mediator of the new covenant, who wrought out this perfect atonement through the shedding of his own blood.",119
Book of Mormon,3 Nephi,11,26,14,"And then shall ye immerse them in the water, and come forth again out of the water.",41
Book of Mormon,3 Nephi,11,27,14,"And after this manner shall ye baptize in my name; for behold, verily I say unto you, that the Father, and the Son, and the Holy Ghost are one; and I am in the Father, and the Father in me, and the Father and I are one.",41
Doctrine and Covenants,Doctrine and Covenants,78,18,14,"And ye cannot bear all things now; nevertheless, be of good cheer, for I will lead you along. The kingdom is yours and the blessings thereof are yours, and the riches of eternity are yours.",22
Book of Mormon,Alma,36,3,14,"And now, O my son Helaman, behold, thou art in thy youth, and therefore, I beseech of thee that thou wilt hear my words and learn of me; for I do know that whosoever shall put their trust in God shall be supported in their trials, and their troubles, and their afflictions, and shall be lifted up at the last day.",30
Doctrine and Covenants,Doctrine and Covenants,138,56,13,"Even before they were born, they, with many others, received their first lessons in the world of spirits and were prepared to come forth in the due time of the Lord to labor in his vineyard for the salvation of the souls of men.",60
New Testament,John,4,10,13,"Jesus answered and said unto her, If thou knewest the gift of God, and who it is that saith to thee, Give me to drink; thou wouldest have asked of him, and he would have given thee living water.",54
Book of Mormon,Enos,1,6,13,"And I, Enos, knew that God could not lie; wherefore, my guilt was swept away.",27
Book of Mormon,Moroni,7,12,13,"Wherefore, all things which are good cometh of God; and that which is evil cometh of the devil; for the devil is an enemy unto God, and fighteth against him continually, and inviteth and enticeth to sin, and to do that which is evil continually.",48
Book of Mormon,Moroni,7,19,13,"Wherefore, I beseech of you, brethren, that ye should search diligently in the light of Christ that ye may know good from evil; and if ye will lay hold upon every good thing, and condemn it not, ye certainly will be a child of Christ.",48
Book of Mormon,Moroni,7,41,13,"And what is it that ye shall hope for? Behold I say unto you that ye shall have hope through the atonement of Christ and the power of his resurrection, to be raised unto life eternal, and this because of your faith in him according to the promise.",48
New Testament,Luke,15,12,13,"And the younger of them said to his father, Father, give me the portion of goods that falleth to me. And he divided unto them his living.",32
New Testament,Luke,15,16,13,And he would fain have filled his belly with the husks that the swine did eat: and no man gave unto him.,32
Book of Mormon,Mosiah,26,30,13,"Yea, and as often as my people repent will I forgive them their trespasses against me.",39
New Testament,Luke,15,18,13,"I will arise and go to my father, and will say unto him, Father, I have sinned against heaven, and before thee,",32
New Testament,Matthew,5,48,13,"Be ye therefore perfect, even as your Father which is in heaven is perfect.",48
Book of Mormon,Alma,42,23,13,"But God ceaseth not to be God, and mercy claimeth the penitent, and mercy cometh because of the atonement; and the atonement bringeth to pass the resurrection of the dead; and the resurrection of the dead bringeth back men into the presence of God; and thus they are restored into his presence, to be judged according to their works, according to the law and justice.",31
New Testament,Luke,15,6,13,"And when he cometh home, he calleth together his friends and neighbours, saying unto them, Rejoice with me; for I have found my sheep which was lost.",32
Doctrine and Covenants,Doctrine and Covenants,18,13,13,And how great is his joy in the soul that repenteth!,47
New Testament,Luke,15,24,13,"For this my son was dead, and is alive again; he was lost, and is found. And they began to be merry.",32
New Testament,Luke,15,11,13,"And he said, A certain man had two sons:",32
New Testament,Luke,15,14,13,"And when he had spent all, there arose a mighty famine in that land; and he began to be in want.",32
New Testament,Luke,15,15,13,And he went and joined himself to a citizen of that country; and he sent him into his fields to feed swine.,32
Doctrine and Covenants,Doctrine and Covenants,76,24,13,"That by him, and through him, and of him, the worlds are and were created, and the inhabitants thereof are begotten sons and daughters unto God.",119
Book of Mormon,4 Nephi,1,15,13,"And it came to pass that there was no contention in the land, because of the love of God which did dwell in the hearts of the people.",49
Book of Mormon,Alma,42,13,13,"Therefore, according to justice, the plan of redemption could not be brought about, only on conditions of repentance of men in this probationary state, yea, this preparatory state; for except it were for these conditions, mercy could not take effect except it should destroy the work of justice. Now the work of justice could not be destroyed; if so, God would cease to be God.",31
Doctrine and Covenants,Doctrine and Covenants,123,12,13,"For there are many yet on the earth among all sects, parties, and denominations, who are blinded by the subtle craftiness of men, whereby they lie in wait to deceive, and who are only kept from the truth because they know not where to find it—",17
New Testament,Luke,15,21,13,"And the son said unto him, Father, I have sinned against heaven, and in thy sight, and am no more worthy to be called thy son.",32
Book of Mormon,1 Nephi,11,17,13,"And I said unto him: I know that he loveth his children; nevertheless, I do not know the meaning of all things.",36
New Testament,John,15,10,13,"If ye keep my commandments, ye shall abide in my love; even as I have kept my Father’s commandments, and abide in his love.",27
Book of Mormon,4 Nephi,1,16,13,"And there were no envyings, nor strifes, nor tumults, nor whoredoms, nor lyings, nor murders, nor any manner of lasciviousness; and surely there could not be a happier people among all the people who had been created by the hand of God.",49
New Testament,Luke,15,23,13,"And bring hither the fatted calf, and kill it; and let us eat, and be merry:",32
New Testament,Luke,15,22,13,"But the father said to his servants, Bring forth the best robe, and put it on him; and put a ring on his hand, and shoes on his feet:",32
New Testament,Matthew,5,16,13,"Let your light so shine before men, that they may see your good works, and glorify your Father which is in heaven.",48
New Testament,Luke,15,19,13,And am no more worthy to be called thy son: make me as one of thy hired servants.,32
Doctrine and Covenants,Doctrine and Covenants,130,22,13,"The Father has a body of flesh and bones as tangible as man’s; the Son also; but the Holy Ghost has not a body of flesh and bones, but is a personage of Spirit. Were it not so, the Holy Ghost could not dwell in us.",23
Book of Mormon,1 Nephi,8,27,13,"And it was filled with people, both old and young, both male and female; and their manner of dress was exceedingly fine; and they were in the attitude of mocking and pointing their fingers towards those who had come at and were partaking of the fruit.",38
Book of Mormon,3 Nephi,11,4,13,"And it came to pass that again they heard the voice, and they understood it not.",41
New Testament,Matthew,25,37,13,"Then shall the righteous answer him, saying, Lord, when saw we thee an hungred, and fed thee? or thirsty, and gave thee drink?",46
Book of Mormon,2 Nephi,2,26,13,"And the Messiah cometh in the fulness of time, that he may redeem the children of men from the fall. And because that they are redeemed from the fall they have become free forever, knowing good from evil; to act for themselves and not to be acted upon, save it be by the punishment of the law at the great and last day, according to the commandments which God hath given.",30
Book of Mormon,3 Nephi,11,5,13,"And again the third time they did hear the voice, and did open their ears to hear it; and their eyes were towards the sound thereof; and they did look steadfastly towards heaven, from whence the sound came.",41
Book of Mormon,Alma,32,38,13,"But if ye neglect the tree, and take no thought for its nourishment, behold it will not get any root; and when the heat of the sun cometh and scorcheth it, because it hath no root it withers away, and ye pluck it up and cast it out.",43
Doctrine and Covenants,Doctrine and Covenants,58,43,13,"By this ye may know if a man repenteth of his sins—behold, he will confess them and forsake them.",65
Book of Mormon,3 Nephi,11,2,13,"And they were also conversing about this Jesus Christ, of whom the sign had been given concerning his death.",41
Book of Mormon,3 Nephi,11,1,13,"And now it came to pass that there were a great multitude gathered together, of the people of Nephi, round about the temple which was in the land Bountiful; and they were marveling and wondering one with another, and were showing one to another the great and marvelous change which had taken place.",41
Book of Mormon,3 Nephi,11,20,13,And the Lord commanded him that he should arise. And he arose and stood before him.,41
Pearl of Great Price,Abraham,3,26,13,And they who keep their first estate shall be added upon; and they who keep not their first estate shall not have glory in the same kingdom with those who keep their first estate; and they who keep their second estate shall have glory added upon their heads for ever and ever.,28
Pearl of Great Price,Moses,1,7,13,"And now, behold, this one thing I show unto thee, Moses, my son, for thou art in the world, and now I show it unto thee.",42
New Testament,Matthew,25,38,13,"When saw we thee a stranger, and took thee in? or naked, and clothed thee?",46
New Testament,Matthew,26,39,13,"And he went a little further, and fell on his face, and prayed, saying, O my Father, if it be possible, let this cup pass from me: nevertheless not as I will, but as thou wilt.",75
Book of Mormon,Alma,34,33,13,"And now, as I said unto you before, as ye have had so many witnesses, therefore, I beseech of you that ye do not procrastinate the day of your repentance until the end; for after this day of life, which is given us to prepare for eternity, behold, if we do not improve our time while in this life, then cometh the night of darkness wherein there can be no labor performed.",41
Pearl of Great Price,Articles of Faith,1,3,13,"We believe that through the Atonement of Christ, all mankind may be saved, by obedience to the laws and ordinances of the Gospel.",13
Book of Mormon,3 Nephi,11,18,13,And it came to pass that he spake unto Nephi (for Nephi was among the multitude) and he commanded him that he should come forth.,41
Book of Mormon,3 Nephi,11,19,13,"And Nephi arose and went forth, and bowed himself before the Lord and did kiss his feet.",41
New Testament,Romans,8,39,13,"Nor height, nor depth, nor any other creature, shall be able to separate us from the love of God, which is in Christ Jesus our Lord.",39
Book of Mormon,Moroni,7,46,13,"Wherefore, my beloved brethren, if ye have not charity, ye are nothing, for charity never faileth. Wherefore, cleave unto charity, which is the greatest of all, for all things must fail—",48
New Testament,Ephesians,4,13,13,"Till we all come in the unity of the faith, and of the knowledge of the Son of God, unto a perfect man, unto the measure of the stature of the fulness of Christ:",32
Book of Mormon,Moroni,6,8,12,"But as oft as they repented and sought forgiveness, with real intent, they were forgiven.",9
Doctrine and Covenants,Doctrine and Covenants,138,58,12,"The dead who repent will be redeemed, through obedience to the ordinances of the house of God,",60
Doctrine and Covenants,Doctrine and Covenants,38,27,12,"Behold, this I have given unto you as a parable, and it is even as I am. I say unto you, be one; and if ye are not one ye are not mine.",42
New Testament,John,6,38,12,"For I came down from heaven, not to do mine own will, but the will of him that sent me.",71
Book of Mormon,1 Nephi,8,26,12,"And I also cast my eyes round about, and beheld, on the other side of the river of water, a great and spacious building; and it stood as it were in the air, high above the earth.",38
New Testament,John,8,11,12,"She said, No man, Lord. And Jesus said unto her, Neither do I condemn thee: go, and sin no more.",59
Old Testament,Isaiah,61,1,12,"The Spirit of the Lord God is upon me; because the Lord hath anointed me to preach good tidings unto the meek; he hath sent me to bind up the brokenhearted, to proclaim liberty to the captives, and the opening of the prison to them that are bound;",11
Book of Mormon,3 Nephi,17,9,12,"And it came to pass that when he had thus spoken, all the multitude, with one accord, did go forth with their sick and their afflicted, and their lame, and with their blind, and with their dumb, and with all them that were afflicted in any manner; and he did heal them every one as they were brought forth unto him.",25
Book of Mormon,3 Nephi,18,24,12,"Therefore, hold up your light that it may shine unto the world. Behold I am the light which ye shall hold up—that which ye have seen me do. Behold ye see that I have prayed unto the Father, and ye all have witnessed.",39
Book of Mormon,3 Nephi,9,22,12,"Therefore, whoso repenteth and cometh unto me as a little child, him will I receive, for of such is the kingdom of God. Behold, for such I have laid down my life, and have taken it up again; therefore repent, and come unto me ye ends of the earth, and be saved.",22
Book of Mormon,Moroni,7,44,12,"If so, his faith and hope is vain, for none is acceptable before God, save the meek and lowly in heart; and if a man be meek and lowly in heart, and confesses by the power of the Holy Ghost that Jesus is the Christ, he must needs have charity; for if he have not charity he is nothing; wherefore he must needs have charity.",48
Old Testament,1 Samuel,16,7,12,"But the Lord said unto Samuel, Look not on his countenance, or on the height of his stature; because I have refused him: for the Lord seeth not as man seeth; for man looketh on the outward appearance, but the Lord looketh on the heart.",23
Pearl of Great Price,Joseph Smith—History,1,16,12,"But, exerting all my powers to call upon God to deliver me out of the power of this enemy which had seized upon me, and at the very moment when I was ready to sink into despair and abandon myself to destruction—not to an imaginary ruin, but to the power of some actual being from the unseen world, who had such marvelous power as I had never before felt in any being—just at this moment of great alarm, I saw a pillar of light exactly over my head, above the brightness of the sun, which descended gradually until it fell upon me.",75
New Testament,John,4,14,12,But whosoever drinketh of the water that I shall give him shall never thirst; but the water that I shall give him shall be in him a well of water springing up into everlasting life.,54
New Testament,Luke,15,31,12,"And he said unto him, Son, thou art ever with me, and all that I have is thine.",32
New Testament,Luke,15,30,12,"But as soon as this thy son was come, which hath devoured thy living with harlots, thou hast killed for him the fatted calf.",32
New Testament,Luke,15,29,12,"And he answering said to his father, Lo, these many years do I serve thee, neither transgressed I at any time thy commandment: and yet thou never gavest me a kid, that I might make merry with my friends:",32
Doctrine and Covenants,Doctrine and Covenants,20,51,12,"And visit the house of each member, exhorting them to pray vocally and in secret and attend to all family duties.",84
Old Testament,Amos,3,7,12,"Surely the Lord God will do nothing, but he revealeth his secret unto his servants the prophets.",15
New Testament,Luke,22,44,12,And being in an agony he prayed more earnestly: and his sweat was as it were great drops of blood falling down to the ground.,71
Book of Mormon,Mosiah,4,3,12,"And it came to pass that after they had spoken these words the Spirit of the Lord came upon them, and they were filled with joy, having received a remission of their sins, and having peace of conscience, because of the exceeding faith which they had in Jesus Christ who should come, according to the words which king Benjamin had spoken unto them.",30
New Testament,2 Peter,1,4,12,"Whereby are given unto us exceeding great and precious promises: that by these ye might be partakers of the divine nature, having escaped the corruption that is in the world through lust.",21
Doctrine and Covenants,Doctrine and Covenants,13,1,12,"Upon you my fellow servants, in the name of Messiah I confer the Priesthood of Aaron, which holds the keys of the ministering of angels, and of the gospel of repentance, and of baptism by immersion for the remission of sins; and this shall never be taken again from the earth, until the sons of Levi do offer again an offering unto the Lord in righteousness.",1
New Testament,2 Corinthians,12,9,12,"And he said unto me, My grace is sufficient for thee: for my strength is made perfect in weakness. Most gladly therefore will I rather glory in my infirmities, that the power of Christ may rest upon me.",21
New Testament,Luke,15,28,12,"And he was angry, and would not go in: therefore came his father out, and entreated him.",32
New Testament,Luke,15,27,12,"And he said unto him, Thy brother is come; and thy father hath killed the fatted calf, because he hath received him safe and sound.",32
New Testament,Luke,15,26,12,"And he called one of the servants, and asked what these things meant.",32
New Testament,Luke,15,25,12,"Now his elder son was in the field: and as he came and drew nigh to the house, he heard musick and dancing.",32
New Testament,Luke,15,32,12,"It was meet that we should make merry, and be glad: for this thy brother was dead, and is alive again; and was lost, and is found.",32
Doctrine and Covenants,Doctrine and Covenants,21,5,12,"For his word ye shall receive, as if from mine own mouth, in all patience and faith.",12
New Testament,John,17,22,12,"And the glory which thou gavest me I have given them; that they may be one, even as we are one:",26
New Testament,Ephesians,4,14,12,"That we henceforth be no more children, tossed to and fro, and carried about with every wind of doctrine, by the sleight of men, and cunning craftiness, whereby they lie in wait to deceive;",32
New Testament,Romans,8,38,12,"For I am persuaded, that neither death, nor life, nor angels, nor principalities, nor powers, nor things present, nor things to come,",39
New Testament,Romans,8,35,12,"Who shall separate us from the love of Christ? shall tribulation, or distress, or persecution, or famine, or nakedness, or peril, or sword?",39
New Testament,Acts,3,21,12,"Whom the heaven must receive until the times of restitution of all things, which God hath spoken by the mouth of all his holy prophets since the world began.",26
Book of Mormon,2 Nephi,2,6,12,"Wherefore, redemption cometh in and through the Holy Messiah; for he is full of grace and truth.",30
